indicator,Indicator 07: Enrolments by gender,,,,,,,,,,,,,
title,Enrolments by gender,,,,,,,,,,,,,
type,bar,(line/bar),,,,,,,,,,,,
yaxistitle,Percentage,,,,,,,,,,,,,
xaxisvalues,"2000 ,2001 ,2002 ,2003 ,2004 ,2005 ,2006 ,2007 ,2008 ,2009 ,2010 ,2011 ,2012",,,,,,,,,,,,,
refinedindicator,"Female,Male",,,,,,,,,,,,,
data,,,,,,,,,,,,,,
,,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
CPUT,Female,49%,50%,51%,52%,51%,52%,53%,53%,53%,53%,54%,53%,54%
CPUT,Male,51%,50%,49%,48%,49%,48%,47%,47%,47%,47%,46%,47%,46%
CUT,Female,48%,48%,49%,50%,50%,49%,48%,49%,48%,48%,48%,48%,48%
CUT,Male,52%,52%,51%,50%,50%,51%,52%,51%,52%,52%,52%,52%,52%
DUT,Female,50%,50%,50%,51%,50%,50%,50%,50%,50%,50%,50%,50%,49%
DUT,Male,50%,50%,50%,49%,50%,50%,50%,50%,50%,50%,50%,50%,51%
MUT,Female,48%,48%,48%,50%,49%,49%,50%,50%,52%,52%,52%,51%,51%
MUT,Male,52%,52%,52%,50%,51%,51%,50%,50%,48%,48%,48%,49%,49%
NMMU,Female,57%,57%,58%,55%,55%,54%,55%,55%,54%,54%,54%,54%,54%
NMMU,Male,43%,43%,42%,45%,45%,46%,45%,45%,46%,46%,46%,46%,46%
NWU,Female,60%,61%,62%,61%,62%,61%,62%,64%,65%,66%,66%,66%,67%
NWU,Male,40%,39%,38%,39%,38%,39%,38%,36%,35%,34%,34%,34%,33%
Rhodes,Female,57%,58%,59%,59%,57%,57%,58%,58%,59%,59%,59%,59%,58%
Rhodes,Male,43%,42%,41%,41%,43%,43%,42%,42%,41%,41%,41%,41%,42%
Stellenbosch,Female,52%,52%,53%,52%,53%,52%,51%,51%,51%,52%,52%,51%,51%
Stellenbosch,Male,48%,48%,47%,48%,47%,48%,49%,49%,49%,48%,48%,49%,49%
TUT,Female,49%,50%,51%,51%,52%,52%,52%,52%,52%,53%,52%,52%,51%
TUT,Male,51%,50%,49%,49%,48%,48%,48%,48%,48%,47%,48%,48%,49%
UCT,Female,47%,48%,49%,49%,50%,51%,51%,50%,50%,50%,52%,52%,52%
UCT,Male,53%,52%,51%,51%,50%,49%,49%,50%,50%,50%,48%,48%,48%
Fort Hare,Female,66%,65%,67%,65%,63%,61%,57%,54%,55%,55%,56%,57%,58%
Fort Hare,Male,34%,35%,33%,35%,37%,39%,43%,46%,45%,45%,44%,43%,42%
UFS,Female,52%,52%,54%,55%,56%,56%,56%,57%,57%,58%,59%,60%,62%
UFS,Male,48%,48%,46%,45%,44%,44%,44%,43%,43%,42%,41%,40%,38%
UJ,Female,53%,53%,53%,54%,54%,54%,54%,54%,54%,55%,56%,55%,54%
UJ,Male,47%,47%,47%,46%,46%,46%,46%,46%,46%,45%,44%,45%,46%
UKZN,Female,55%,56%,56%,55%,56%,55%,55%,58%,58%,59%,59%,59%,58%
UKZN,Male,45%,44%,44%,45%,44%,45%,45%,42%,42%,41%,41%,41%,42%
UL,Female,51%,51%,52%,53%,52%,51%,50%,51%,56%,53%,53%,54%,54%
UL,Male,49%,49%,48%,47%,48%,49%,50%,49%,44%,47%,47%,46%,46%
UP,Female,58%,58%,57%,56%,56%,56%,56%,57%,58%,59%,58%,59%,58%
UP,Male,42%,42%,43%,44%,44%,44%,44%,43%,42%,41%,42%,41%,42%
Unisa,Female,50%,52%,52%,52%,54%,55%,57%,57%,58%,60%,60%,61%,63%
Unisa,Male,50%,48%,48%,48%,46%,45%,43%,43%,42%,40%,40%,39%,37%
UV,Female,50%,50%,45%,46%,48%,50%,50%,49%,50%,53%,54%,54%,54%
UV,Male,50%,50%,55%,54%,52%,50%,50%,51%,50%,47%,46%,46%,46%
UWC,Female,56%,57%,57%,57%,57%,59%,60%,59%,60%,60%,59%,60%,60%
UWC,Male,44%,43%,43%,43%,43%,41%,40%,41%,40%,40%,41%,40%,40%
Wits,Female,46%,48%,49%,49%,50%,50%,51%,51%,51%,53%,54%,54%,54%
Wits,Male,54%,52%,51%,51%,50%,50%,49%,49%,49%,47%,46%,46%,46%
UZ,Female,60%,40%,59%,61%,64%,65%,66%,64%,66%,66%,66%,65%,65%
UZ,Male,40%,60%,41%,39%,36%,35%,34%,36%,34%,34%,34%,35%,35%
VUT,Female,48%,48%,48%,47%,49%,49%,48%,48%,46%,47%,47%,46%,46%
VUT,Male,52%,52%,52%,53%,51%,51%,52%,52%,54%,53%,53%,54%,54%
WSU,Female,61%,61%,61%,62%,62%,63%,64%,59%,58%,56%,56%,57%,56%
WSU,Male,39%,39%,39%,38%,38%,37%,36%,41%,42%,44%,44%,43%,44%
EOF,,,,,,,,,,,,,,
