indicator,Indicator 10: Graduates as % of total head count,,,,,,,,,,,,,
title,Graduates as % of total head count,,,,,,,,,,,,,
type,line,(line/bar),,,,,,,,,,,,
yaxistitle,Percentage,,,,,,,,,,,,,
xaxisvalues,"2000 ,2001 ,2002 ,2003 ,2004 ,2005 ,2006 ,2007 ,2008 ,2009 ,2010 ,2011 ,2012",,,,,,,,,,,,,
refinedindicator,,,,,,,,,,,,,,
data,,,,,,,,,,,,,,
,,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
CPUT,,18%,20%,19%,20%,20%,20%,23%,24%,24%,25%,23%,24%,24%
CUT,,15%,15%,16%,16%,17%,20%,23%,22%,23%,19%,19%,22%,25%
DUT,,15%,15%,15%,15%,17%,19%,19%,21%,20%,24%,22%,23%,24%
MUT,,15%,15%,14%,11%,10%,12%,20%,19%,14%,13%,16%,19%,18%
NMMU,,12%,13%,12%,20%,24%,23%,20%,25%,20%,19%,21%,20%,22%
NWU,,25%,22%,20%,20%,24%,20%,25%,25%,26%,27%,27%,27%,25%
Rhodes,,23%,26%,24%,32%,28%,33%,32%,30%,28%,27%,28%,30%,31%
Stellenbosch,,23%,23%,24%,25%,25%,25%,25%,25%,25%,26%,26%,26%,28%
TUT,,16%,13%,13%,14%,15%,16%,18%,19%,19%,20%,19%,21%,21%
UCT,,21%,22%,23%,25%,24%,28%,25%,26%,25%,25%,25%,26%,26%
Fort Hare,,16%,9%,10%,14%,14%,20%,22%,18%,17%,21%,21%,22%,21%
UFS,,20%,19%,20%,20%,19%,21%,22%,19%,20%,20%,19%,18%,20%
UJ,,21%,21%,20%,19%,20%,22%,24%,23%,23%,21%,21%,22%,23%
UKZN,,23%,21%,20%,22%,18%,20%,23%,20%,21%,21%,18%,21%,23%
UL,,19%,18%,13%,12%,14%,17%,20%,25%,19%,19%,19%,18%,19%
UP,,25%,23%,24%,22%,23%,25%,25%,22%,23%,23%,24%,23%,23%
Unisa,,9%,8%,9%,7%,7%,7%,6%,6%,7%,9%,9%,8%,8%
UV,,16%,17%,11%,13%,15%,15%,16%,16%,19%,19%,23%,20%,17%
UWC,,21%,17%,15%,16%,16%,21%,19%,21%,20%,21%,21%,20%,19%
Wits,,21%,20%,19%,17%,19%,21%,21%,21%,21%,19%,22%,23%,22%
UZ,,18%,19%,15%,21%,20%,20%,21%,21%,20%,16%,15%,16%,25%
VUT,,3%,10%,12%,13%,14%,13%,14%,17%,18%,16%,15%,17%,19%
WSU,,16%,15%,14%,18%,14%,10%,14%,12%,15%,14%,13%,18%,20%
EOF,,,,,,,,,,,,,,
